suite,case_id,arm_id,expected,success,unsupported,not_attempted,not_collected,timeout,memory_limit,failure,complete,quality_qualified,int8_error_characterization_only
W,xor_n12,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,xor_n12,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,xor_n12,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,xor_n16,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,xor_n16,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,xor_n16,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,xor_n16,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,xor_n18,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,xor_n18,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,xor_n18,quest32_p1,5,5,0,0,0,0,0,0,True,True,False
W,xor_n18,numpy_p1,5,5,0,0,0,0,0,0,True,True,False
W,xor_n20,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,xor_n20,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,xor_n22,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,xor_n22,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,xor_n24,upmem_d64_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
W,xor_n24,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
W,xor_n26,upmem_d64_t24_static_dag_waves_v1_1_f32,5,0,5,0,0,0,0,0,False,False,False
W,xor_n26,quest32_p8,5,5,0,0,0,0,0,0,True,True,False
