case_id,B,K,M,N,dependency_count,node_id,output_elements,real_macs
hs_n20,1,2,2,2,0,contract_12,4,32
hs_n20,1,2,2,2,0,contract_13,4,32
hs_n20,1,2,2,8,0,contract_14,16,128
hs_n20,1,2,2,2,0,contract_15,4,32
hs_n20,1,2,1,2,0,contract_16,2,16
hs_n20,1,2,1,2,0,contract_17,2,16
hs_n20,1,2,2,8,0,contract_18,16,128
hs_n20,1,2,1,8,2,contract_19,8,64
hs_n20,1,2,2,2,0,contract_20,4,32
hs_n20,1,2,2,2,0,contract_21,4,32
hs_n20,1,2,2,8,0,contract_22,16,128
hs_n20,1,2,2,2,0,contract_23,4,32
hs_n20,1,2,1,2,0,contract_24,2,16
hs_n20,1,2,1,2,0,contract_25,2,16
hs_n20,1,2,2,8,0,contract_26,16,128
hs_n20,1,2,1,8,2,contract_27,8,64
hs_n20,1,2,2,2,0,contract_28,4,32
hs_n20,1,2,2,2,0,contract_29,4,32
hs_n20,1,2,2,8,0,contract_30,16,128
hs_n20,1,2,2,2,0,contract_31,4,32
hs_n20,1,2,1,2,0,contract_32,2,16
hs_n20,1,2,1,2,0,contract_33,2,16
hs_n20,1,2,2,8,0,contract_34,16,128
hs_n20,1,2,1,8,2,contract_35,8,64
hs_n20,1,2,2,2,0,contract_36,4,32
hs_n20,1,2,2,2,0,contract_37,4,32
hs_n20,1,2,2,8,0,contract_38,16,128
hs_n20,1,2,2,2,0,contract_39,4,32
hs_n20,1,2,1,2,0,contract_40,2,16
hs_n20,1,2,1,2,0,contract_41,2,16
hs_n20,1,2,2,8,0,contract_42,16,128
hs_n20,1,2,1,8,2,contract_43,8,64
hs_n20,1,2,2,2,0,contract_44,4,32
hs_n20,1,2,2,2,0,contract_45,4,32
hs_n20,1,2,2,8,0,contract_46,16,128
hs_n20,1,2,2,2,0,contract_47,4,32
hs_n20,1,2,1,2,0,contract_48,2,16
hs_n20,1,2,1,2,0,contract_49,2,16
hs_n20,1,2,2,8,0,contract_50,16,128
hs_n20,1,2,1,8,2,contract_51,8,64
hs_n20,1,2,2,2,0,contract_52,4,32
hs_n20,1,2,2,2,0,contract_53,4,32
hs_n20,1,2,2,8,0,contract_54,16,128
hs_n20,1,2,2,2,0,contract_55,4,32
hs_n20,1,2,1,2,0,contract_56,2,16
hs_n20,1,2,1,2,0,contract_57,2,16
hs_n20,1,2,2,8,0,contract_58,16,128
hs_n20,1,2,1,8,2,contract_59,8,64
hs_n20,1,2,2,2,0,contract_60,4,32
hs_n20,1,2,2,2,0,contract_61,4,32
hs_n20,1,2,2,8,0,contract_62,16,128
hs_n20,1,2,2,2,0,contract_63,4,32
