case_id,B,K,M,N,dependency_count,node_id,output_elements,real_macs,input_source_id,source_row
bb84_n24,1,2,1,2,0,contract_2,2,16,final_contractions,188
bb84_n24,1,2,1,2,0,contract_3,2,16,final_contractions,189
bb84_n24,1,2,1,2,0,contract_4,2,16,final_contractions,190
bb84_n24,1,2,1,2,0,contract_5,2,16,final_contractions,191
bb84_n24,1,2,1,2,0,contract_6,2,16,final_contractions,192
bb84_n24,1,2,1,2,0,contract_7,2,16,final_contractions,193
bb84_n24,1,2,1,2,0,contract_8,2,16,final_contractions,194
bb84_n24,1,2,1,2,0,contract_9,2,16,final_contractions,195
bb84_n24,1,2,1,2,0,contract_10,2,16,final_contractions,196
bb84_n24,1,2,1,2,0,contract_11,2,16,final_contractions,197
bb84_n24,1,2,1,2,0,contract_12,2,16,final_contractions,198
bb84_n24,1,2,1,2,0,contract_13,2,16,final_contractions,199
bb84_n24,1,2,1,2,0,contract_14,2,16,final_contractions,200
bb84_n24,1,2,1,2,0,contract_15,2,16,final_contractions,201
bb84_n24,1,2,1,2,0,contract_16,2,16,final_contractions,202
bb84_n24,1,2,1,2,0,contract_17,2,16,final_contractions,203
bb84_n24,1,2,2,1,1,contract_18,2,16,final_contractions,204
bb84_n24,1,2,2,1,1,contract_19,2,16,final_contractions,205
bb84_n24,1,2,2,1,1,contract_20,2,16,final_contractions,206
bb84_n24,1,2,2,1,1,contract_21,2,16,final_contractions,207
bb84_n24,1,2,2,1,1,contract_22,2,16,final_contractions,208
bb84_n24,1,2,2,1,1,contract_23,2,16,final_contractions,209
bb84_n24,1,1,2,2,0,contract_24,4,16,final_contractions,210
bb84_n24,1,1,2,2,0,contract_25,4,16,final_contractions,211
bb84_n24,1,1,2,2,0,contract_26,4,16,final_contractions,212
bb84_n24,1,1,2,2,2,contract_27,4,16,final_contractions,213
bb84_n24,1,1,2,2,2,contract_28,4,16,final_contractions,214
bb84_n24,1,1,2,2,2,contract_29,4,16,final_contractions,215
bb84_n24,1,1,2,2,2,contract_30,4,16,final_contractions,216
bb84_n24,1,1,2,2,2,contract_31,4,16,final_contractions,217
bb84_n24,1,1,2,2,2,contract_32,4,16,final_contractions,218
bb84_n24,1,1,2,2,2,contract_33,4,16,final_contractions,219
bb84_n24,1,1,2,2,2,contract_34,4,16,final_contractions,220
bb84_n24,1,1,2,2,2,contract_35,4,16,final_contractions,221
bb84_n24,1,1,4,4,2,contract_36,16,64,final_contractions,222
bb84_n24,1,1,4,4,2,contract_37,16,64,final_contractions,223
bb84_n24,1,1,4,4,2,contract_38,16,64,final_contractions,224
bb84_n24,1,1,4,4,2,contract_39,16,64,final_contractions,225
bb84_n24,1,1,4,4,2,contract_40,16,64,final_contractions,226
bb84_n24,1,1,4,4,2,contract_41,16,64,final_contractions,227
bb84_n24,1,1,16,16,2,contract_42,256,1024,final_contractions,228
bb84_n24,1,1,16,16,2,contract_43,256,1024,final_contractions,229
bb84_n24,1,1,16,16,2,contract_44,256,1024,final_contractions,230
bb84_n24,1,1,256,256,2,contract_45,65536,262144,final_contractions,231
bb84_n24,1,1,256,65536,2,contract_46,16777216,67108864,final_contractions,232
bb84_n26,1,2,1,2,0,contract_0,2,16,final_contractions,233
bb84_n26,1,2,1,2,0,contract_1,2,16,final_contractions,234
bb84_n26,1,2,1,2,0,contract_2,2,16,final_contractions,235
bb84_n26,1,2,1,2,0,contract_3,2,16,final_contractions,236
bb84_n26,1,2,1,2,0,contract_4,2,16,final_contractions,237
bb84_n26,1,2,1,2,0,contract_5,2,16,final_contractions,238
bb84_n26,1,2,1,2,0,contract_6,2,16,final_contractions,239
bb84_n26,1,2,1,2,0,contract_7,2,16,final_contractions,240
bb84_n26,1,2,1,2,0,contract_8,2,16,final_contractions,241
bb84_n26,1,2,1,2,0,contract_9,2,16,final_contractions,242
bb84_n26,1,2,1,2,0,contract_10,2,16,final_contractions,243
bb84_n26,1,2,1,2,0,contract_11,2,16,final_contractions,244
bb84_n26,1,2,1,2,0,contract_12,2,16,final_contractions,245
bb84_n26,1,2,1,2,0,contract_13,2,16,final_contractions,246
bb84_n26,1,2,1,2,0,contract_14,2,16,final_contractions,247
bb84_n26,1,2,1,2,0,contract_15,2,16,final_contractions,248
bb84_n26,1,2,1,2,0,contract_16,2,16,final_contractions,249
bb84_n26,1,2,1,2,0,contract_17,2,16,final_contractions,250
bb84_n26,1,2,1,2,0,contract_18,2,16,final_contractions,251
bb84_n26,1,2,2,1,1,contract_19,2,16,final_contractions,252
bb84_n26,1,2,2,1,1,contract_20,2,16,final_contractions,253
bb84_n26,1,2,2,1,1,contract_21,2,16,final_contractions,254
bb84_n26,1,2,2,1,1,contract_22,2,16,final_contractions,255
bb84_n26,1,2,2,1,1,contract_23,2,16,final_contractions,256
bb84_n26,1,2,2,1,1,contract_24,2,16,final_contractions,257
bb84_n26,1,1,2,2,0,contract_25,4,16,final_contractions,258
bb84_n26,1,1,2,2,0,contract_26,4,16,final_contractions,259
bb84_n26,1,1,2,2,0,contract_27,4,16,final_contractions,260
bb84_n26,1,1,2,2,1,contract_28,4,16,final_contractions,261
bb84_n26,1,1,2,2,2,contract_29,4,16,final_contractions,262
bb84_n26,1,1,2,2,2,contract_30,4,16,final_contractions,263
bb84_n26,1,1,2,2,2,contract_31,4,16,final_contractions,264
bb84_n26,1,1,2,2,2,contract_32,4,16,final_contractions,265
bb84_n26,1,1,2,2,2,contract_33,4,16,final_contractions,266
bb84_n26,1,1,2,2,2,contract_34,4,16,final_contractions,267
bb84_n26,1,1,2,2,2,contract_35,4,16,final_contractions,268
