cell_id,family,topology_id,method,path_id,n,block,sample_id,session_instance_id,session_inclusive_s,total_wall_s,session_open_s,session_close_s,kernel_s,h2d_s,d2h_s,request_build_sum_s,request_wave_wall_sum_s
bb84_test_total17_r1/4dpu_t8,BB84,4dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,5,5,cdfaf69d5a6e5bbca0b10cc24b151f183243ff6bd500ca45b6783663c3184a54,fc122ac4-6f5f-4ec2-9dc8-209f94f35a94,0.3397535129915923,0.2295332860085182,0.10516084701521322,0.0050593799678608775,0.07446699,0.017950601,0.047321917,0.012666656984947622,0.19374113308731467
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G,740cebb98d01b20e761292de5e1d8ac73815c42d4841b7cc7d9ada0704821112,5,1,7482ea9fcc4ab869e054a46cf7a5af3ddfbd1686cec741f5ff73370604bb0fb6,1ec8cc67-6b8a-4a28-a462-5fb25f709eb8,0.5949365250417031,0.4221661390038207,0.16935525700682774,0.0034151290310546756,0.169180885,0.025532385,0.060917992000000004,0.02915606164606288,0.34745303983800113
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G,740cebb98d01b20e761292de5e1d8ac73815c42d4841b7cc7d9ada0704821112,5,2,1c06348b7808a2fecd9e7780e8378a8788fba9e9b3312af7e1704aa3ca8bfb23,d84f677f-d1ea-45e5-ae38-b76deb3381d2,0.5817235769936815,0.4121988659608178,0.16323716199258342,0.0062875490402802825,0.169519262,0.025577779,0.05814122000000001,0.028262282721698284,0.339391652145423
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G,740cebb98d01b20e761292de5e1d8ac73815c42d4841b7cc7d9ada0704821112,5,3,b0d8ae1bbb47baa45061cdf17d8470e8e3d7ae6a8888cd24d31ae619ea37f549,05353e48-b0cb-4608-8d55-6ea1d3d4953f,0.5824535539723001,0.4163509240024723,0.16260430100373924,0.003498328966088593,0.170307389,0.024682799999999998,0.058407187000000006,0.028656566108111292,0.34267413686029613
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G,740cebb98d01b20e761292de5e1d8ac73815c42d4841b7cc7d9ada0704821112,5,4,ad2bac168ac02b8218cd05521e2e1e05b7f88c00c1270164596958265a8d7ee0,b4798acc-6df5-4cf8-907e-ac8ee280c53c,0.5785877089947462,0.40628468903014436,0.16784685698803514,0.004456162976566702,0.169704065,0.025022022999999994,0.046874732,0.029253801214508712,0.33271440397948027
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,G,740cebb98d01b20e761292de5e1d8ac73815c42d4841b7cc7d9ada0704821112,5,5,780cff7de0be79e87ebf33da462d13bd6c144d0578646ce7f70302633df10f6c,79823699-6ce7-4c76-a0b7-cc21372964ed,0.5866819869843312,0.4167850730009377,0.16548903397051618,0.0044078800128772855,0.170210684,0.02541706,0.058764579000000004,0.02861363987904042,0.3440384868881665
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,F,00d8fc35f75c73304ad25cea6b15ab88eb498146134c350120e5ad6da7360179,5,1,508d8a197ab5194798e6df15b287cca877fbd3246a2900889d6d0c88468fa170,12f46fa6-bc5c-494f-9b1f-2f707f77640f,0.583483169961255,0.4177020660135895,0.1580373749602586,0.007743728987406939,0.169464361,0.02529825099999999,0.060630964,0.028707330056931823,0.34485498891444877
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,F,00d8fc35f75c73304ad25cea6b15ab88eb498146134c350120e5ad6da7360179,5,2,eed0544922302a25938d1574747f73a4d22fc526f5187fa2970269d79b58b80e,0345b54a-b2bf-4bbf-b731-b6980b8f094a,0.5813583969138563,0.41539369797101244,0.1598069669562392,0.006157731986604631,0.170358864,0.025460731,0.059081176000000006,0.028459505294449627,0.3429924941738136
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,F,00d8fc35f75c73304ad25cea6b15ab88eb498146134c350120e5ad6da7360179,5,3,89e3eedff42ac3af869182014c7e48a0948fe8954365c750e788d080cd7bc446,71cab7cb-7038-43c5-8e69-deb3f3de507d,0.5916618480114266,0.41395070898579434,0.17427917598979548,0.003431963035836816,0.169071482,0.02522095,0.058841482,0.028949343657586724,0.3401258385856636
bv_test_total17_r1/1dpu_t8,BV,1dpu_t8,F,00d8fc35f75c73304ad25cea6b15ab88eb498146134c350120e5ad6da7360179,5,4,57fc746a02ee97187ed0cd85e7fcb6c2e39534ee98651a668012ce89e3c35a9f,0a7a001a-578e-4023-9208-dd1317874b7a,0.5916317750234157,0.42091867298586294,0.1659238170250319,0.00478928501252085,0.169499569,0.025970412000000002,0.060982467,0.02921239024726674,0.34697708301246166
