cell_id,family,topology_id,contrast,metric,ratio_of_medians,denominator_time_reduction_pct,paired_bootstrap_low,paired_bootstrap_high,same_selected_path
xor_test_total17_r1/1dpu_t8,XOR,1dpu_t8,G/F,total_wall_s,2.650672463940113,62.273724362249496,2.6371596034502525,2.70726653723361,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,R/U,session_inclusive_s,1.020017373312351,1.9624541538295182,0.9738590162038142,1.086758904139693,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,F/U,session_inclusive_s,1.1807591822640902,15.308725519922428,1.095525098797015,1.2201318582196523,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,G/U,session_inclusive_s,2.426451389186029,58.78755270117084,2.299652358085941,2.497757037718666,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,F/R,session_inclusive_s,1.157587324645025,13.61342866235593,1.09939306539855,1.169738785642153,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,G/R,session_inclusive_s,2.3788333931082937,57.96258775847459,2.279599042692669,2.3945963417375133,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,G/F,session_inclusive_s,2.054992606141195,51.338024428332574,2.0471205803635457,2.099132517010487,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,R/U,total_wall_s,1.0380459233867956,3.6651483840584365,0.9594283579688303,1.148351370430636,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,F/U,total_wall_s,1.2627564431795975,20.80816491563342,1.14515428425128,1.288262011076141,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,G/U,total_wall_s,2.8894601207211332,65.39145867324079,2.7240704717747706,3.025682897559564,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,F/R,total_wall_s,1.2164745458078068,17.79523842515387,1.1174490014075449,1.2369876633593988,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,G/R,total_wall_s,2.7835571197985103,64.07474476139416,2.6252092095324135,2.8935211723182586,False
xor_test_total17_r1/4dpu_t8,XOR,4dpu_t8,G/F,total_wall_s,2.2882164936300198,56.29784145058744,2.2882164936300198,2.3787803174100777,False
