cell_id,family,topology_id,method,path_id,n,session_inclusive_s_median,session_inclusive_s_mad,total_wall_s_median,total_wall_s_mad,session_open_s_median,session_open_s_mad,session_close_s_median,session_close_s_mad,kernel_s_median,kernel_s_mad,h2d_s_median,h2d_s_mad,d2h_s_median,d2h_s_mad,request_build_sum_s_median,request_build_sum_s_mad,request_wave_wall_sum_s_median,request_wave_wall_sum_s_mad
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,G,04c40dc3a3e5dc7cdc616f7ecee17a1080e4e53ef8906de5f295dc378d515f0c,5,1.81937956699403,0.009115338034462184,1.561619040032383,0.006932925956789404,0.2515196080203168,0.003598433977458626,0.0049848699709400535,5.148898344486952e-05,0.7975889749999999,0.0003220500000001847,0.169138509,0.0006227790000000177,0.199039884,0.000693102000000001,0.11814690002938733,0.0007907358813099563,1.4641756731434725,0.00572459475370124
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,F,b86dbd7cfe7821da03a8e9964a077bf93c7d81a880536838a93f3c72c0cb5466,5,0.8857489789952524,0.00486553501104936,0.7460727490251884,0.0037185499677434564,0.1316461440292187,0.001525599043816328,0.005350534978788346,0.0006603850051760674,0.529880763,2.8469000000086453e-05,0.026674723999999997,0.00021260199999999924,0.05685052300000001,0.000930460000000001,0.02647467394126579,0.00014152389485388994,0.6910569311585277,0.003119074215646833
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,R,ba66e146156e32efa8dfd422d2ab3b3bb37d00150b939ebff28e45c7f5a74d1d,5,0.651767366041895,0.004006311937700957,0.5088913760264404,0.0037134980084374547,0.1370606980053708,0.003190522955264896,0.004808501980733126,0.0003173270379193127,0.28857531799999997,3.2705000000021744e-05,0.028764912,0.00016404199999999966,0.057025343000000006,0.00012343399999999866,0.029205568018369377,0.0004113989998586476,0.45430509495781735,0.0009400068665854633
edc_test_data9_syndrome8_total17_r1/4dpu_t8,EDC,4dpu_t8,U,88a16fe7bbfc2cfaa382452dbcc19b473b1b2844864c14e9da023f35e63f835f,5,0.6471378189744428,0.00521642598323524,0.5055161030031741,0.0018328310106880963,0.13634477194864303,0.0006135220755822957,0.004479210008867085,6.350805051624775e-05,0.288557642,3.240999999998273e-05,0.028646388000000002,0.000494610999999999,0.056301003999999995,0.0007882729999999991,0.029511410102713853,0.000982206838671118,0.4545872529852204,0.002235582040157169
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,G,d986e72b7f18b35f3328b4f2bf63c7df015cbbb7531649c9465e8c8c26fd6696,5,1.360054931952618,0.017215322062838823,0.8970099569996819,0.009076578018721193,0.45255740999709815,0.003928086021915078,0.0073280989890918136,0.00031852000392973423,0.35429035100000006,0.0004203149999999489,0.061256595,0.001382813999999996,0.12861253900000003,0.0029702059999999753,0.06989434530260041,0.00043175037717446685,0.7229855550685897,0.00704716396285221
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,F,0041ca5dd29c0d6046b794814de0dfda80bdfa577f6b4fecf9214716a1239cd8,5,1.8205010339734145,0.0190060370368883,0.8918790899915621,0.015375751012470573,0.8775539029738866,0.028151606966275722,0.004820201953407377,0.00010806292993947864,0.35010964499999997,0.0006991169999999713,0.060644288999999976,0.000991649999999969,0.12809153099999998,0.0013915499999999914,0.06968563125701621,0.000750785693526268,0.7176435493747704,0.01084960054140538
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,R,4525cf54c4ba19000aa7cdaacb18498600642594aff555c5238ccaea9905e66b,5,1.7869850079878233,0.02358303195796907,0.9004048869828694,0.0012381940032355487,0.8827442100155167,0.024756501021329314,0.005246294022072107,0.00019515393069013953,0.350619423,0.00030222299999999036,0.060985897999999976,0.00042341000000004764,0.129076732,3.2557999999988096e-05,0.06970649218419567,0.0003021356533281505,0.7226941898697987,0.002245666866656393
hs_test_total18_r1/1dpu_t8,HS,1dpu_t8,U,06e36dc1e39837611db3ebf1feadf21771f4f768da16c4858f7813e65c40e8e3,5,1.8160488250432536,0.019111580913886428,0.9018063849653117,0.0023374330485239625,0.8753522760234773,0.029965749999973923,0.005281730962451547,0.0006724559352733195,0.348454729,0.001077402000000005,0.061390291000000013,0.0009260369999999907,0.13129436300000005,0.000958272999999954,0.06984114117221907,0.0003094486310146749,0.726655570382718,0.0025036323931999505
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,G,d986e72b7f18b35f3328b4f2bf63c7df015cbbb7531649c9465e8c8c26fd6696,5,0.9672805449808948,0.011907733918633312,0.5227249090094119,0.005751898046582937,0.43537743599154055,0.007443227979820222,0.004713694041129202,0.00015387206804007292,0.084480002,8.944300000000849e-05,0.066529031,0.0004976800000000003,0.10042454499999999,0.0017769639999999781,0.04703746287850663,0.0010764898615889251,0.37957451288821176,0.0021845658193342388
hs_test_total18_r1/4dpu_t8,HS,4dpu_t8,F,062bcb3a5d5649a0503a819cb528e329cbce07671ee68418c08aadfa03536397,5,1.4161613259930164,0.02806808496825397,0.5569337279885076,0.006289998011197895,0.8795119139831513,0.03202659200178459,0.005452278011944145,0.0004928870475850999,0.082615693,9.14720000000091e-05,0.067674089,0.00047184300000001345,0.127527957,0.0005358980000000069,0.047713043983094394,0.0001406047958880663,0.4116236849804409,0.0026735671563073993
