cell_id,case_id,phase,backend,arm_id,role,planned_slots,issued_slots,success_count,unsupported_count,timeout_count,failure_count,complete,quality_qualified
cell-31b19b10b1d1886c26765c3cb05e62f1cb384dbd879b5655600d4d80bf1eb616,hs_n18,calibration,upmem,6e3d096bf26fc5d85f31f1670950563229bc62e50027c58f94c155d639b8b8c1,calibration,6,6,6,0,0,0,True,False
cell-31c9e561ae136a0d87bd98b5da345cd228dafdb78be08c6d607912636ac47fc9,xor_n18,calibration,upmem,ecf95fdab372ba8ec6b1b3d7a72fa3b3f1c10533823a80917559477cc61f32d4,calibration,8,8,8,0,0,0,True,False
cell-3217a2a01e726849a796fb65d5425e1fec97656ba145de1def23fd4f8ecd9565,stress_n18_l2,calibration,upmem,14aec505d4de73636d673ab51471bc242f33036ec2efc3e15a4d99764794c575,calibration,6,6,6,0,0,0,True,False
cell-330409584dc20b8e574ede26c239106f4ed22bccc5577e65350848986e41a3a9,hs_n18,calibration,upmem,3ba097dc4b13b98c1e69c047ab63ddec6e826a4dcac84fb4fa8b81e272e78f84,calibration,6,6,6,0,0,0,True,False
cell-33ddfa0fe7332075b32d41fe6a591bd1ff1908443aa7dff7f4d52ee053e43841,edc_n17,calibration,upmem,be81183e6d130ece72190f9176126a70d37731ee25893f68d1c49a2e8e15b57a,calibration,6,6,6,0,0,0,True,False
cell-33f4ec0abfd2939887b1846127655b1b8a991b317592fe3e95de4f4469e09bc6,edc_n17,calibration,upmem,14aec505d4de73636d673ab51471bc242f33036ec2efc3e15a4d99764794c575,calibration,6,6,6,0,0,0,True,False
cell-3412efa991ceaddd058ca0438e979b962cfc794c514c82b6b5e25a4f207d1384,qrng_n18,calibration,upmem,5a62bf542200bf710caf573838f36d0fd198d6636aa7b6c50f42d3572bc51473,calibration,6,6,6,0,0,0,True,False
cell-34284688b80c47b55062fa1942dd12f58487e4ef12a9db56c89dffa2ecc6ac32,xor_n18,calibration,upmem,62a47992f9fc9f3bd2e91d1bd0a864752984aec3313515cc8e4a9d9ad0bd081b,calibration,6,6,6,0,0,0,True,False
cell-34417be4a4642d6e961a88dcbed7c8d7bb2425bde4cd81e8ff93be63630fa692,stress_n18_l2,calibration,upmem,f20455ed11d6465c717cfc21d50ddadb3d6f28b1a1e37f8d7e7b131a3d508fd2,calibration,6,6,6,0,0,0,True,False
cell-359abf3ac2c8c831a45a8044bfd06558552ab0cfde08ec264f6b9811ed2f27f2,stress_n16_l2,calibration,upmem,fce085219b1c27d878bfc98d0548813c7213b26a19b57f8282eee434946e3e23,calibration,6,6,6,0,0,0,True,False
cell-363c438768ade2018361263dd6db3913279795dea46d6cc7bc32a14cccb48a8f,bb84_n18,calibration,upmem,7f1d4a33ef36c6275faf29ecea97c8f4794e54748f6e4607e72c16cf07990c4f,calibration,6,6,6,0,0,0,True,False
