view,case_id,point,cell_id,median_prepared_call_s,raw_mad,count
T,qrng_n18,T6,cell-36c8fd4afc7e4fcdcdf08895b63bbfd236e87b16ed5ae8d65d80bba739eb4356,1.1826143710059114,0.001951409038156271,5
T,qrng_n18,T7,cell-c08c63fe9014617c818cafc9bd0a6def86e725902567926c949c865a9d2e8e66,1.0940365149872378,0.00467793399002403,5
T,qrng_n18,T8,cell-1a1c668a42a425e92f9bc474f5e55ed9ff7d390415bd647dde80de191a25cea5,1.0146231380058452,0.007615294016432017,5
T,qrng_n18,T9,cell-556abfde748f9e524dea400db51afa8719344c212ebbaca7ad4af97766c3bf23,0.9848788270028308,0.0036572450189851224,5
T,qrng_n18,T10,cell-a39dda06fd897ef1e62fbd86715cd3d602acb47adda6dca277993184c81ed0e3,0.9349789079860784,0.007838645949959755,5
T,qrng_n18,T11,cell-e8d003ee9f33963c731ab595a510f673d9411aa57c18b29d35580ee1a38b3859,0.9287242920254357,0.0039764929679222405,5
T,qrng_n18,T12,cell-141b07ecf76db8a6dac851920dc983a7acaad215ae9a7cdc3b3cbbf7f72db881,0.9216850340017118,0.01731957698939368,5
T,qrng_n18,T13,cell-71781e0b6c066445fc2a7afacf81277be52d02a4cf02f3757a6b10f1aa972235,0.9047271760064177,0.009729099983815104,5
T,qrng_n18,T14,cell-8aa0a20a60faf0e26aa98d4c05c3381313d90255316f15ef0205ef33d21d9742,0.9272894549649209,0.0034396399278193712,5
T,qrng_n18,T15,cell-f93b465adf306054b2662503ecf9ddba060213ffbaf168f620a33f75a447985f,0.9228782650316134,0.0020405170507729053,5
T,qrng_n18,T16,cell-e0261505f60810f8ab0dc848ebedfedf5f509d00b72fd56aa5171f395e59876c,0.9176903550396673,0.0031472829286940396,5
T,qrng_n18,T17,cell-56408f860207a25177995d3df59628d01b171ae4dbb547750cbbcf26f0375c25,0.9246812729979865,0.009406303986907005,5
T,qrng_n18,T18,cell-4fc96ce3cc3bf7832a726d19fb341aa5a616bffdbf0c8c4720d2a98e30b82dda,0.9071707469993271,0.03727709798840806,5
T,qrng_n18,T19,cell-02e9ad2877d84b7ad9e1ffa158020475117abe6c9549d52e13b7f9126e117e4e,0.9096960379974917,0.011914358008652925,5
T,qrng_n18,T20,cell-c9c4b3dc79e5f5c92ae7a58a0ac1f4fed0341f936166f5f0f9f3c1aec9b7cc7b,0.9219192169839516,0.002366189961321652,5
T,qrng_n18,T21,cell-1918a1bb0f6a9228b5982f14a9983487e2f522e808760b3caa6f46182a4ebb67,0.9181360849761404,0.0034539520274847746,5
T,qrng_n18,T22,cell-766d68b696d6272f358c8592843b663b2878a861fb20a7c35d6b05e4caa911d9,0.9067484309780411,0.002406882995273918,5
T,qrng_n18,T23,cell-506ba7dd634c1c8fd98e399b6c97e908932f9d43206b01bd7806a5c631d20f22,0.9291092989733443,0.014739437960088253,5
T,qrng_n18,T24,cell-03199a1db7ef7ca3f5a820d1732d2c6825ccddb3412cf2567ea42e148469d251,0.9203819090034813,0.0017323420033790171,5
