view,case_id,role,cell_id,median_job_to_state_cached_path_s,raw_mad_cached_s,median_prepared_call_s,count,accuracy_qualified
W,qrng_n12,quest32_p8,cell-a61a9cf073283e68fc5874c4700e824ccb981354f2a079d5948e60d7ff274456,0.0020863889949396253,5.117966793477535e-06,0.0020590010099112988,5,True
W,qrng_n12,quest32_p1,cell-e3f8cef699c563b3bbc5489a967a68a9a2e594eb0e049f279b0ba658a6217777,0.0004839609609916806,9.598443284630775e-08,0.0004558649961836636,5,True
W,qrng_n12,numpy_f32_p1,cell-22f07d95ba789e26d7314ec2119da8780a2f7064d40ff25316c44a23ded5b9fa,0.012715803983155638,0.0001097029889933765,0.006195990019477904,5,True
W,qrng_n16,upmem_f32,cell-1aa0ab49dfca8d6c5ffa07b45d087a6a224222ba71a593a2c05cf5dabf4f39ff,0.35433405404910445,0.0053004209767095745,0.3237491720356047,5,True
W,qrng_n16,upmem_int8,cell-bc58bf01462aaa0bd22165562cfc9b0498fd956f1c158814e820fc678bef2bdc,0.2765753230196424,0.009310415014624596,0.24592227500397712,5,True
W,qrng_n16,quest32_p8,cell-5fc8bf28b407f4192e85a8aa8f7457a936c893644653a1b2a73c0d47592e5679,0.006600968015845865,1.349597005173564e-05,0.006572626007255167,5,True
W,qrng_n16,quest32_p1,cell-c14597601e2e13435ab62c91e33d21dcb3b542a9a88f98341760fd50a38f06ea,0.00455116800731048,2.3549655452370644e-06,0.004522099043242633,5,True
W,qrng_n16,numpy_f32_p1,cell-c82fadf9b861a9cc41d5804eae7309efe37c4231f40a68ec10b72ddd106b7ac4,0.02095575100975111,0.00025948701659217477,0.01105933397775516,5,True
W,qrng_n18,upmem_f32,cell-cc70fcb7fb1598c822ff273d3b62cb0f738b258bd37916c89a6641c9c1fa5af2,0.49319284898228943,0.0039116659900173545,0.4574071440147236,5,True
W,qrng_n18,upmem_int8,cell-b8752ee7d9f383f46fc2efab336b4fa09a2290b5d0222cb382bbcda55c4950ea,0.4299998739734292,0.0029238559654913843,0.394062960986048,5,True
W,qrng_n18,quest32_p8,cell-e0342449e2dab685a97d33194400bfa9a4c2e06c315344e08577c8ad207a8210,0.021773291984573007,6.379967089742422e-06,0.02174135798122734,5,True
W,qrng_n18,quest32_p1,cell-39c9d41d4178a505b9ef507e8d8cbb47382b9dab9463a16436a278d2b947c84e,0.019474773027468473,1.4021992683410645e-05,0.019443440018221736,5,True
W,qrng_n18,numpy_f32_p1,cell-4ff0f5a08dd1a19788ac42629acf6394d0c9c1c5650e7edb27d832309ff48caa,0.03450891800457612,0.0007904520025476813,0.018886994977947325,5,True
W,qrng_n20,upmem_f32,cell-bceec5569cceaf32dac11a573be22949ef374a50e64dd84171fec068cd34724f,1.2518235209863633,0.016886113968212157,1.2099300320260227,5,True
W,qrng_n20,upmem_int8,cell-006bc21c387868054cafbf20a95f02f398c01158345e23e38e9f84fde8dabffc,1.060025234008208,0.01534829701995477,1.0178375539835542,5,True
W,qrng_n20,quest32_p8,cell-5f0f6ff4daeeb76e74801c6e09ebcd9a322f0799802b55be90d8b3a11967c74d,0.08473811607109383,5.266792140901089e-05,0.08470663102343678,5,True
W,qrng_n20,quest32_p1,cell-56b6a3105ff889c6904bfe80ea0687a1ee1b9e4e83cf1d851609682f53c34b56,0.08178247202886268,0.0001415180740877986,0.08175087301060557,5,True
W,qrng_n20,numpy_f32_p1,cell-32c8fb9719aad45a959fd2c14cd01dc33cca81e061ce8f5b21e269f1e29a48a2,0.11608969396911561,0.002689985034521669,0.08060713700251654,5,True
W,qrng_n22,upmem_f32,cell-a88f749a10464aff055d51a8e2750142d1902da6e52fcc569ba58ceaf3f09dd2,4.387635577993933,0.006377413985319436,4.337087913998403,5,True
W,qrng_n22,upmem_int8,cell-e1adb642f77e259b745158f9b6b7fde2c6953e6e617dc7ea5477d3fe8d890ba0,3.7461303409654647,0.08609298698138446,3.695245859969873,5,True
W,qrng_n22,quest32_p8,cell-c1224498e9633897b53ee7e695e56ad0604d16153a1d905566553717cc76385a,0.3632264009793289,0.0003746489528566599,0.36319091299083084,5,True
W,qrng_n22,quest32_p1,cell-b9988fea8d2118d4c55e3afbe418c3b2a3b67e83d5a3ba5b46c80a0fd3ca4c9e,0.35865314496913925,0.00028937996830791235,0.35861538897734135,5,True
W,qrng_n22,numpy_f32_p1,cell-ae1e8a4f3a4779fed9813de57df114a3f832d4eadac4961382d63579e1d86cf2,0.5354307899833657,0.005267563974484801,0.3733233489911072,5,True
W,qrng_n24,upmem_f32,cell-6268507fd3c0d35eac5f7d2c6c819ae50d633ed0b9167232c22e510ba61c3174,17.49317787901964,0.2222878999891691,17.428119492018595,5,True
W,qrng_n24,upmem_int8,cell-01cb5572d2b4857d119e99ab38b30ab9d461ff9cca50af1130bfa24fc51228df,15.488936720008496,0.11659506004070863,15.42518287699204,5,True
W,qrng_n24,quest32_p8,cell-a5dcbb1665cf1cb19c64b686eef9ac4db953ae5e70b750d5d8adfb9df891d8f0,1.553701629047282,0.001954604929778725,1.5536679360084236,5,True
W,qrng_n24,quest32_p1,cell-62ee2f34bdb368f6e3ce4181e44315cc30c19e4c1c9e9984cea82ed6e50e566a,1.5506853399565443,0.0009817939717322588,1.550649999990128,5,True
W,qrng_n24,numpy_f32_p1,cell-ecf5f14cbb85ba83dedebeb4ac8cebd90ac30f2b77455f72b1b7467ac94babb2,2.390764438023325,0.0031340529676526785,1.6782752349972725,5,True
W,qrng_n26,quest32_p8,cell-35d9f3a23ea987aac4c9f10d6275de3983eeede5e0a84e89246b2d63a628738b,6.730804159014951,0.003314536064863205,6.730769614048768,5,True
W,qrng_n26,quest32_p1,cell-9d8337cae205677847c72b61eabb3bcf207b49fca182734bdd453dd65f4a7725,6.676818465988617,0.004150788998231292,6.676782285969239,5,True
W,xor_n08,upmem_f32,cell-2f72025a74d360d7e5ae840010fa1f02076bba540cb33d6bfad1bcabd7285833,0.19432892999611795,0.0048435640055686235,0.17513143899850547,5,True
W,xor_n08,upmem_int8,cell-82d3fb6535671f16d8f69327e27465778d66fdfe9369ea0e1554aa22732f5afe,0.1931335689732805,0.0033209940302185714,0.17407744500087574,5,True
W,xor_n08,quest32_p8,cell-b5db2f1031807ba2dbf39f6f7c890907dd29fb70bc33edb4a8c72e996cbe4450,0.002153433975763619,8.889997843652964e-06,0.002125572005752474,5,True
W,xor_n08,quest32_p1,cell-67ad1b57ac12f7886ed3c3bf22d9a88f6f568e8a252ea7680e81e25db2d749b0,0.0003333789645694196,3.635010216385126e-06,0.00030391395557671785,5,True
W,xor_n08,numpy_f32_p1,cell-f7c2003bac39eaa7f14464606c113302d70ba1d74d0d3c4297f63b325254bba3,0.01220937998732552,9.360199328511953e-05,0.005989655968733132,5,True
W,xor_n12,upmem_f32,cell-21228dcc1a1b4cc44256ae91f2f00e636abbb855b9f216ebf705651bb8ff1b49,0.278806441987399,0.0027005060110241175,0.24243371502961963,5,True
W,xor_n12,upmem_int8,cell-00145a34e646f78e7ff0f22af64850e5a3d7df9eeb6479182c79701d5acb77af,0.2598666929989122,0.0081453449674882,0.22458684199955314,5,True
W,xor_n12,quest32_p8,cell-b0230ace51b0f7c1a4d72ca33b086333410f4db42524c6ce60efe5ef9ab13326,0.0033585710916668177,1.6272941138595343e-05,0.00332568003796041,5,True
W,xor_n12,quest32_p1,cell-5938e94120869282fcb0d5f57f6228bdeaadb0819ee76fa63189cc77c5fbcd2d,0.000695337017532438,3.615044988691807e-06,0.0006611860007978976,5,True
W,xor_n12,numpy_f32_p1,cell-e3267e8fe1f63843f0b226241b26b9279a8a15b40fa973b23e3cb17fc1f4e5b5,0.021066189976409078,4.595698555931449e-05,0.009373801003675908,5,True
W,xor_n16,upmem_f32,cell-a94681a8d820f92ad701e07c26be6907e53ca70992064cff6863de4e13494655,0.4066832170356065,0.007679874019231647,0.35073977400315925,5,True
W,xor_n16,upmem_int8,cell-210f6995411c19ceae3c49a269e9491912299637e3a77a0169a4dafcda59a182,0.3699950560112484,0.01018612104235217,0.3130498130340129,5,True
W,xor_n16,quest32_p8,cell-38c962979b6ee2fa9a12ad93009089cef9d8429bac4a72c3543a70e8921803c8,0.010142070997972041,8.0430181697011e-06,0.010105409019161016,5,True
W,xor_n16,quest32_p1,cell-f6bd8399be633955fc49dc42d004c858a347e5b56184f72b6bf22f1c097124bb,0.006596341030672193,3.2199895940721035e-06,0.006559505010955036,5,True
W,xor_n16,numpy_f32_p1,cell-e319783733b7fda303a24bdabe1bb82f0cb38f8822316a5d423fa1e15c500bbd,0.033212376991286874,0.00017030397430062294,0.014419150014873594,5,True
W,xor_n18,upmem_f32,cell-50450a143f6ab4b12eb93d4606e98c03db5a9a4289cc1bcab5ae776e6c7d76a5,0.6011415820103139,0.01907340402249247,0.5276838809950277,5,True
W,xor_n18,upmem_int8,cell-0eabd00caeee3898aae7faab6ee7edf074d3e60f09c4a7bcf791f5bc15d965af,0.5685344699886627,0.009747611999046057,0.494392127962783,5,True
W,xor_n18,quest32_p8,cell-bc320d2135bf1b7b496b88c347fc91ec175a0f52180fdb700a5d51bf1aab5fca,0.03237906802678481,2.1200045011937618e-05,0.03233913501026109,5,True
W,xor_n18,quest32_p1,cell-90b672a74794d107bf05560d0c02810486d9b6a0cf2dcc1fb9f524c55a69ac8f,0.028350947017315775,2.2994005121290684e-05,0.02831166301621124,5,True
W,xor_n18,numpy_f32_p1,cell-4eb0e2728fd34fd3fe58938e4522bd23468fa799529df2bbd94861a4e7fd437e,0.056311335996724665,0.00042981095612049103,0.028726485033985227,5,True
W,xor_n20,upmem_f32,cell-e39813eb7d9bcf3585d98b37837883cf0e66b26ff5ddb6366041187cabe0d2ef,1.1382467280491255,0.006641939049586654,1.0623691719956696,5,True
W,xor_n20,upmem_int8,cell-ac657b609b4fb49e090e9e9187c36ccc0319f056937e6b23fd8b763c8c2ceaec,1.1340358119923621,0.004007168987300247,1.0558278789976612,5,True
W,xor_n20,quest32_p8,cell-12fe5d9325880e64ebf2319d657726f1d374072a3dcc455b8a75bc796766afd9,0.1264072730555199,0.00010883103823289275,0.12636685301549733,5,True
W,xor_n20,quest32_p1,cell-7eaa1c7d4a4fc1157563d576ef5f703986fff6afee82aafcac2e6acb7b03d2e6,0.12152208294719458,0.00020649092039093375,0.12148143496597186,5,True
W,xor_n20,numpy_f32_p1,cell-a7d43f6688b4366c344d75e66a98365d4980be76f026168b8b07b7805364f843,0.13036034698598087,0.0004895959864370525,0.08227088098647073,5,True
