case_id,family,cohort,role,view,blocks,selection_family,binding
edc_n21,edc,primary,quest32_p8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n21,edc,primary,quest32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n21,edc,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n23,edc,primary,upmem_f32,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n23,edc,primary,upmem_int8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n23,edc,primary,quest32_p8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n23,edc,primary,quest32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n23,edc,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n25,edc,primary,upmem_f32,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n25,edc,primary,upmem_int8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n25,edc,primary,quest32_p8,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n25,edc,primary,quest32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
edc_n25,edc,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",edc,after_selection_and_R_seal
hs_n08,hs,primary,upmem_f32,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n08,hs,primary,upmem_int8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n08,hs,primary,quest32_p8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n08,hs,primary,quest32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n08,hs,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n12,hs,primary,upmem_f32,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n12,hs,primary,upmem_int8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n12,hs,primary,quest32_p8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n12,hs,primary,quest32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n12,hs,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n16,hs,primary,upmem_f32,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n16,hs,primary,upmem_int8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n16,hs,primary,quest32_p8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n16,hs,primary,quest32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n16,hs,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n18,hs,primary,upmem_f32,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n18,hs,primary,upmem_int8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n18,hs,primary,quest32_p8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n18,hs,primary,quest32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n18,hs,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n20,hs,primary,upmem_f32,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n20,hs,primary,upmem_int8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n20,hs,primary,quest32_p8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n20,hs,primary,quest32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n20,hs,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n22,hs,primary,upmem_f32,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n22,hs,primary,upmem_int8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n22,hs,primary,quest32_p8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n22,hs,primary,quest32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n22,hs,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n24,hs,primary,upmem_f32,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n24,hs,primary,upmem_int8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n24,hs,primary,quest32_p8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n24,hs,primary,quest32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n24,hs,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n26,hs,primary,upmem_f32,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n26,hs,primary,upmem_int8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n26,hs,primary,quest32_p8,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n26,hs,primary,quest32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
hs_n26,hs,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",hs,after_selection_and_R_seal
qrng_n08,qrng,primary,upmem_f32,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n08,qrng,primary,upmem_int8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n08,qrng,primary,quest32_p8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n08,qrng,primary,quest32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n08,qrng,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n12,qrng,primary,upmem_f32,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n12,qrng,primary,upmem_int8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n12,qrng,primary,quest32_p8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n12,qrng,primary,quest32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n12,qrng,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n16,qrng,primary,upmem_f32,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n16,qrng,primary,upmem_int8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n16,qrng,primary,quest32_p8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n16,qrng,primary,quest32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n16,qrng,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n18,qrng,primary,upmem_f32,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n18,qrng,primary,upmem_int8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n18,qrng,primary,quest32_p8,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n18,qrng,primary,quest32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n18,qrng,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
qrng_n20,qrng,primary,upmem_f32,W,"[0,1,2,3,4,5]",qrng,after_selection_and_R_seal
